annotation.is_fraud,annotation.fraud_type,annotation.fraud_labels.transaction_upi_fraud,annotation.fraud_labels.transaction_card_fraud,annotation.fraud_labels.transaction_bank_transfer,annotation.fraud_labels.commerce_nondelivery,annotation.fraud_labels.commerce_fake_seller,annotation.fraud_labels.credential_phishing,annotation.fraud_labels.social_authority_scam,annotation.fraud_labels.social_urgency_scam,annotation.fraud_labels.meta_victim_story,annotation.fraud_labels.meta_fraud_question,annotation.key_features.payment_method,annotation.key_features.fraud_channel,annotation.key_features.victim_action,annotation.key_features.request_type,annotation.key_features.impersonated_entity,annotation.key_features.amount_mentioned,annotation.key_features.currency,annotation.key_features.urgency_level,annotation.psychological_tactics.urgency,annotation.psychological_tactics.fear,annotation.psychological_tactics.authority,annotation.psychological_tactics.reward,annotation.key_features.amount_normalized,annotation.key_features.has_amount
1,transaction,1,0,0,0,0,0,0,0,1,0,upi,email,sent_money,payment,bank,unknown,unknown,0.9,1.0,0.0,1.0,0.0,,0
1,transaction,0,1,0,0,0,0,0,0,0,0,card,email,sent_money,payment,company,2000,unknown,1.0,1.0,1.0,1.0,0.0,2000.0,1
1,social_engineering,0,0,0,0,0,0,1,1,0,0,unknown,social_media,none,none,individual,unknown,unknown,1.0,1.0,1.0,1.0,0.0,,0
1,social_engineering,0,0,0,0,0,1,0,1,0,0,unknown,social_media,shared_credentials,none,individual,unknown,unknown,1.0,1.0,1.0,1.0,0.0,,0
1,commerce,0,0,0,1,1,0,0,0,0,0,upi,website,clicked_link,commerce,company,unknown,unknown,0.8,1.0,0.0,0.0,0.0,,0
1,commerce,0,0,0,0,1,0,0,0,0,0,bank,phone,installed_app,verification,insurance_company,unknown,unknown,0.8,1.0,0.0,0.0,0.0,,0
1,transaction,0,1,0,0,0,0,0,0,0,0,unknown,unknown,sent_money,payment,unknown,unknown,unknown,0.0,1.0,1.0,0.0,0.0,,0
1,transaction,1,0,0,0,0,0,1,1,0,1,upi,sms,sent_money,payment,bank,unknown,unknown,1.0,1.0,1.0,1.0,0.0,,0
1,transaction,0,1,0,0,0,0,0,0,0,0,card,website,clicked_link,payment,company,unknown,unknown,0.0,1.0,1.0,0.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,unknown,sent_money,payment,company,50000,INR,1.0,1.0,0.0,1.0,0.0,50000.0,1
1,social_engineering,0,0,0,0,0,1,0,0,0,0,crypto,direct_message,seed_phrase,verification,none,unknown,unknown,0.9,1.0,1.0,0.0,0.0,,0
1,transaction,0,0,0,0,0,0,0,0,1,0,crypto,private,sent_money,payment,unknown,$2,USD,0.9,1.0,0.0,0.0,0.0,2.0,1
1,transaction,0,0,0,0,0,0,1,1,0,0,crypto,website,clicked_link,payment,elon_musk,unknown,unknown,1.0,1.0,1.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,phone,none,verification,bank,unknown,unknown,0.9,1.0,1.0,1.0,0.0,,0
1,commerce,0,0,0,1,0,0,0,0,0,0,upi,phone,shared_credentials,cancellation,meesho,unknown,unknown,0.8,1.0,0.0,0.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,phone,sent_money,payment,company,unknown,unknown,0.9,1.0,0.0,1.0,0.0,,0
1,transaction,0,0,0,0,0,0,0,0,0,0,unknown,whatsapp,deposited_money,payment,unknown,€60,EUR,0.9,1.0,0.0,0.0,0.0,60.0,1
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,email,sent_money,payment,company,$250K,USD,1.0,1.0,1.0,0.0,0.0,250.0,1
0,none,0,0,0,0,0,1,0,0,0,0,upi,email,shared_credentials,phishing,bank,unknown,unknown,0.0,0.0,1.0,1.0,0.0,,0
1,transaction,0,1,0,0,0,0,0,0,0,0,bank,social_media,clicked_link,payment,tiktok,$20 CAD,CAD,1.0,1.0,0.0,1.0,1.0,20.0,1
1,social_engineering,0,0,0,0,0,1,1,1,0,0,unknown,sms,clicked_link,evidence,police,none,unknown,1.0,1.0,1.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,0,0,crypto,telegram,sent_money,transaction,unknown,2000,USD,1.0,1.0,0.0,0.0,0.0,2000.0,1
1,commerce,0,0,1,1,0,0,0,0,1,0,bank,email,paid,payment,company,800,INR,1.0,1.0,1.0,1.0,0.0,800.0,1
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,email,sent_money,payment,company,10,unknown,0.8,1.0,1.0,1.0,0.0,10.0,1
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,email,sent_money,payment,company,unknown,unknown,0.9,1.0,1.0,1.0,0.0,,0
1,transaction,0,1,0,0,0,0,0,1,0,0,card,phone,sent_money,transaction,company,unknown,unknown,1.0,1.0,0.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,1,1,0,bank,social_media,sent_money,payment,unknown,19.45,SOL,0.8,1.0,0.0,0.0,0.0,19.45,1
1,transaction,1,0,0,0,0,0,0,0,0,0,upi,email,sent_money,payment,company,2550,EUR,1.0,1.0,0.0,1.0,0.0,2550.0,1
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,email,sent_money,payment,company,1000,unknown,0.8,1.0,0.0,1.0,0.0,1000.0,1
1,commerce,0,0,0,0,0,0,0,0,0,0,unknown,unknown,sent_money,payment,unknown,unknown,unknown,0.0,1.0,1.0,0.0,0.0,,0
1,transaction,0,0,0,0,0,0,0,0,1,0,crypto,website,sent_money,transaction,none,109 BTC,BTC,0.8,1.0,1.0,0.0,0.0,109.0,1
1,transaction,0,0,0,0,0,0,0,0,0,0,crypto,website,clicked_link,none,unknown,unknown,unknown,0.9,1.0,1.0,0.0,0.0,,0
1,social_engineering,0,0,0,0,0,1,1,1,0,0,unknown,social_media,clicked_link,none,company,unknown,unknown,1.0,1.0,1.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,website,deposit_money,payment,none,unknown,unknown,0.9,1.0,0.0,0.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,email,sent_money,payment,company,22000,unknown,1.0,1.0,0.0,1.0,0.0,22000.0,1
1,transaction,0,1,1,0,0,0,0,0,0,0,bank,phone,sent_money,payment,bank,$65 million,USD,1.0,1.0,1.0,1.0,0.0,65000000.0,1
1,transaction,0,1,0,0,0,0,0,0,0,0,bank,email,shared_credentials,payment,ebay,850,GBP,1.0,1.0,1.0,1.0,0.0,850.0,1
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,website,clicked_link,payment,company,unknown,unknown,0.8,1.0,0.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,unknown,sent_money,payment,none,$500,USD,0.0,1.0,1.0,0.0,0.0,500.0,1
1,transaction,0,0,0,0,0,0,0,0,0,0,crypto,sms,sent_money,payment,unknown,unknown,unknown,0.0,1.0,0.0,0.0,0.0,,0
1,social_engineering,0,0,0,0,0,0,1,1,0,0,unknown,email,clicked_link,none,google_forms,unknown,unknown,1.0,1.0,0.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,phone,shared_credentials,verification,none,unknown,unknown,0.8,1.0,0.0,0.0,0.0,,0
1,commerce,0,0,0,0,0,0,0,0,0,0,upi,social_media,sent_money,payment,company,unknown,unknown,0.8,1.0,0.0,1.0,0.0,,0
1,social_engineering,0,0,0,0,0,1,1,1,1,0,unknown,phone,none,none,united_healthcare,unknown,unknown,1.0,1.0,1.0,1.0,0.0,,0
1,transaction,1,0,0,0,0,0,0,0,0,0,upi,sms,sent_money,payment,bank,870,INR,1.0,1.0,0.0,1.0,0.0,870.0,1
1,transaction,1,0,0,0,0,0,0,0,1,0,upi,sms,sent_money,payment,bank,unknown,unknown,0.5,1.0,1.0,1.0,0.0,,0
1,transaction,1,0,0,0,0,0,0,0,0,0,upi,sms,sent_money,payment,bank,unknown,unknown,0.8,1.0,0.0,1.0,0.0,,0
0,none,0,0,0,0,0,0,0,0,0,0,unknown,social_media,none,none,individual,unknown,unknown,0.0,0.0,0.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,email,sent_money,payment,company,unknown,unknown,0.9,1.0,1.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,website,sent_money,payment,company,100,EUR,0.8,1.0,0.0,1.0,0.0,100.0,1
1,transaction,1,0,0,0,0,0,0,0,0,0,upi,sms,sent_money,payment,bank,unknown,unknown,0.9,1.0,0.0,1.0,0.0,,0
0,none,0,0,0,0,0,0,0,0,0,0,upi,sms,sent_money,payment,bank,unknown,unknown,0.0,0.0,0.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,telegram,sent_money,payment,unknown,unknown,unknown,0.5,1.0,0.0,0.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,sms,sent_money,transaction,company,unknown,unknown,0.9,1.0,0.0,1.0,0.0,,0
1,transaction,0,0,0,0,0,0,0,0,1,0,crypto,email,shared_credentials,recovery,none,unknown,unknown,0.8,1.0,1.0,0.0,0.0,,0
0,none,0,1,0,0,0,0,0,0,0,0,card,app,clicked_link,payment,none,unknown,unknown,0.0,0.0,0.0,1.0,0.0,,0
1,transaction,0,1,0,0,0,0,0,0,0,0,card,sms,none,payment,bank,unknown,unknown,0.8,1.0,1.0,1.0,0.0,,0
1,social_engineering,0,0,1,0,0,0,0,0,1,0,bank,phone,sent_money,payment,individual,unknown,unknown,0.8,1.0,1.0,0.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,email,sent_money,payment,none,$70,USD,1.0,1.0,0.0,0.0,0.0,70.0,1
1,social_engineering,0,0,0,0,0,1,0,0,0,0,unknown,email,shared_credentials,none,individual,unknown,unknown,0.9,1.0,0.0,1.0,0.0,,0
1,transaction,0,0,0,0,0,0,0,0,1,0,crypto,website,clicked_link,payment,company,150,USD,0.8,1.0,0.0,1.0,0.0,150.0,1
1,social_engineering,0,0,0,0,0,1,1,1,0,0,unknown,phone,none,none,compliance_officer,unknown,unknown,0.8,1.0,1.0,1.0,0.0,,0
1,social_engineering,0,0,0,0,0,0,1,1,0,0,unknown,phone,none,none,real_estate_agent,unknown,unknown,0.8,1.0,1.0,1.0,0.0,,0
1,transaction,1,0,0,0,0,0,1,1,0,0,upi,sms,sent_money,payment,bank,unknown,unknown,1.0,1.0,1.0,1.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,website,clicked_link,payment,company,$8K,USD,0.5,1.0,0.0,1.0,0.0,8.0,1
1,transaction,0,0,1,0,0,0,1,0,0,0,bank,unknown,sent_money,transaction,government,50 Lakhs to 1 Crore,unknown,0.0,1.0,1.0,1.0,0.0,5000000.0,1
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,website,deposited_money,payment,none,unknown,unknown,0.9,1.0,0.0,0.0,0.0,,0
1,social_engineering,0,0,0,0,0,1,0,0,0,0,unknown,discord,none,none,unknown,unknown,unknown,0.8,1.0,1.0,0.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,website,withdrew_money,transaction,none,"$9,000",USD,1.0,1.0,1.0,0.0,0.0,9000.0,1
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,website,installed_app,none,none,unknown,unknown,0.8,1.0,0.0,0.0,0.0,,0
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,sms,sent_money,payment,none,32k,unknown,0.9,1.0,1.0,0.0,0.0,32.0,1
1,transaction,1,0,0,0,0,0,0,1,0,0,upi,sms,sent_money,payment,bank,unknown,unknown,1.0,1.0,0.0,1.0,0.0,,0
1,transaction,0,0,0,0,0,0,0,0,0,0,crypto,website,withdrew_funds,transaction,exchange,unknown,unknown,0.9,1.0,1.0,0.0,0.0,,0
0,none,0,0,0,0,0,0,0,0,0,0,unknown,social_media,none,none,individual,unknown,unknown,0.0,0.0,0.0,0.0,0.0,,0
1,transaction,0,0,0,0,0,0,0,0,0,0,unknown,sms,none,none,unknown,unknown,unknown,0.8,1.0,0.0,0.0,0.0,,0
1,transaction,1,0,0,0,0,0,0,0,0,0,upi,email,sent_money,payment,bank,1000,INR,0.5,1.0,0.0,1.0,0.0,1000.0,1
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,email,deposited_check,payment,unknown,$976,USD,0.8,1.0,0.0,0.0,0.0,976.0,1
1,pig_butchering,0,0,0,0,0,0,1,1,1,0,crypto,website,invested,transaction,ark_invest,unknown,unknown,1.0,1.0,1.0,1.0,0.0,,0
1,social_engineering,0,0,0,0,0,1,0,0,0,0,unknown,app,installed_app,none,unknown,unknown,unknown,0.8,1.0,0.0,0.0,0.0,,0
1,transaction,1,0,0,0,0,0,0,0,0,0,upi,sms,sent_money,payment,bank,unknown,unknown,0.9,1.0,1.0,1.0,0.0,,0
1,transaction,0,1,0,0,0,0,0,0,1,0,card,email,shared_credentials,verification,none,200,USD,0.8,1.0,1.0,0.0,0.0,200.0,1
1,transaction,0,0,1,0,0,0,0,0,0,0,bank,email,sent_money,payment,company,45000,INR,1.0,1.0,0.0,1.0,0.0,45000.0,1
1,transaction,0,0,1,0,0,0,0,0,1,0,bank,website,clicked_link,donation,none,unknown,unknown,0.8,1.0,1.0,0.0,0.0,,0
1,none,0,0,0,0,0,0,0,0,1,0,unknown,none,none,none,none,unknown,unknown,0.8,1.0,1.0,0.0,0.0,,0
